constParams1.beta deg,globalForce1.F N,time s,revoluteJoint3.phiRel rad,prismaticJoint1.xRel m
7.0,100,1.23799999999997,-1.57263275171484,1.81695768175119
7.5,100,1.28099999999997,-1.57090927840621,1.88347246600081
8.0,100,1.33499999999996,-1.5724624021039,1.96914243024529
8.5,100,1.40399999999996,-1.57063943640182,2.08188705172355
9.0,100,1.50299999999995,-1.57258250259837,2.25173361419562
9.5,100,1.67099999999993,-1.57133408440339,2.56223773105659
10.0,100,2.64699999999982,-1.57136320629409,4.98848147395349
10.5,100,1.74599999999992,1.57061099125771,0.997988739154067
11.0,100,1.57199999999994,1.57013308603046,0.672100500105809
11.5,100,1.47199999999995,1.57216127247155,0.503297304759996
12.0,100,1.40099999999996,1.57114396256288,0.39196296962958
12.5,100,1.34599999999996,1.56922417821693,0.310953901279613
13.0,100,1.30199999999997,1.57001001819516,0.250144683983702
13.5,100,1.26499999999997,1.57050713961098,0.201657122644668
14.0,100,1.23299999999998,1.57039190035782,0.161828373919886
14.5,100,1.20499999999998,1.57040862406172,0.128746225535675
15.0,100,1.17999999999998,1.57007215174323,0.100637205321705
15.5,100,1.15799999999998,1.57157475270231,0.0774814747895605
16.0,100,1.13699999999999,1.56901258457968,0.0557402926973172
16.5,100,1.11899999999999,1.57116467936262,0.0389262030344924
17.0,100,1.10199999999999,1.57187450390955,0.0236887906985604
17.5,100,1.08599999999999,1.57116641066497,0.00978219515742089
18.0,100,1.07099999999999,1.57004199364438,-0.0026307567816613
18.5,100,1.05699999999999,1.56902340243728,-0.0135185689685692
19.0,100,1.045,1.57240325338413,-0.0210208895454303
19.5,100,1.032,1.56891110876423,-0.0307470694652706
20.0,100,1.021,1.57055437141301,-0.036929119933144
7.0,105,1.19999999999998,-1.57195336298919,1.80508210892366
7.5,105,1.23599999999997,-1.56953828254769,1.86212336991654
8.0,105,1.27999999999997,-1.5711473275759,1.93345385169614
8.5,105,1.33399999999996,-1.57218835936811,2.02301586610115
9.0,105,1.40299999999996,-1.5695219948664,2.14096163235528
9.5,105,1.50199999999995,-1.56982509000947,2.31873628803878
10.0,105,1.67199999999993,-1.57128765257565,2.64863855676293
10.5,105,2.8179999999998,-1.57075282219724,5.75777476370692
11.0,105,1.74499999999992,1.56981962108351,1.08935197087492
11.5,105,1.57299999999994,1.57238276570067,0.751203878784223
12.0,105,1.47199999999995,1.56938693824618,0.571265767230341
12.5,105,1.40199999999996,1.57146152818909,0.456126833606353
13.0,105,1.34699999999996,1.56921370261516,0.370687160356849
13.5,105,1.30299999999997,1.56983255737454,0.306500046729606
14.0,105,1.26599999999997,1.57022500798254,0.255273449882389
14.5,105,1.23399999999997,1.57006248399092,0.213144938860308
15.0,105,1.20599999999998,1.57004837982676,0.178096209002292
15.5,105,1.18099999999998,1.5696851381887,0.148241428643316
16.0,105,1.15899999999998,1.57117568631085,0.123617992819074
16.5,105,1.13899999999999,1.57241292495814,0.102371455423568
17.0,105,1.11999999999999,1.5708098484356,0.0825113286092223
17.5,105,1.10299999999999,1.57154758419983,0.066205668033747
18.0,105,1.08699999999999,1.57087138505135,0.0513035250015568
18.5,105,1.07199999999999,1.56978597599702,0.0379763611733742
19.0,105,1.05899999999999,1.57267489120417,0.0281960912708285
19.5,105,1.046,1.57223017140679,0.0180489472912803
20.0,105,1.034,1.57270248011062,0.00955827588606809
7.0,110,1.16699999999998,-1.57066678415156,1.79697534334279
7.5,110,1.19899999999998,-1.57258991242539,1.84938419143855
8.0,110,1.23499999999997,-1.56986566768645,1.90887584717379
8.5,110,1.27899999999997,-1.571022808101,1.98318208533727
9.0,110,1.33299999999996,-1.57152040839265,2.07665161319538
9.5,110,1.40299999999996,-1.57157090582741,2.20191177485911
10.0,110,1.50199999999995,-1.56995603283655,2.38771292376219
10.5,110,1.67299999999993,-1.56947808459067,2.73496360628414
11.0,110,3.36499999999974,1.57003835158428,6.4101867529268
11.5,110,1.74399999999992,1.57040673013272,1.18064068218985
12.0,110,1.57299999999994,1.57167298662952,0.828222291175636
12.5,110,1.47299999999995,1.57079807495104,0.641545540185605
13.0,110,1.40299999999996,1.57219402539486,0.520540402322236
13.5,110,1.34799999999996,1.56955449068922,0.430655055824042
14.0,110,1.30399999999997,1.56993357991444,0.363060141305319
14.5,110,1.26699999999997,1.57021518412814,0.309105633561336
15.0,110,1.23499999999997,1.56996103100629,0.264640574404957
15.5,110,1.20699999999998,1.56990413603044,0.22761973588957
16.0,110,1.18199999999998,1.56950325976131,0.196033476757008
16.5,110,1.15999999999998,1.57099039352278,0.169947219232932
17.0,110,1.13999999999999,1.57223051123665,0.147381417267171
17.5,110,1.12099999999999,1.57064176374807,0.126290065889276
18.0,110,1.10399999999999,1.57139827620715,0.108908085208833
18.5,110,1.08799999999999,1.57075010872922,0.0930099096511057
19.0,110,1.07299999999999,1.56969776916222,0.0787645143591954
19.5,110,1.05999999999999,1.57262464978502,0.0682154832995257
20.0,110,1.047,1.57221931903355,0.0572969960134581
7.0,115,1.13799999999999,-1.56991394174994,1.79186513812768
